局面			詳細設計						クライアント名／プロジェクト名							SMBC日興/IP電話EOL											頁		
機能名			CUCMメンテナンスシステム																			作成日			2023/04/01		作成者		PISE 髙田
資料名			TMP_統合ID_店部課情報																			更新日					更新者		
エンティティ一覧へ				ER図へ		CRUD図(オンライン)へ				CRUD図(バッチ)へ																			
テーブル名称					TMP_統合ID_店部課情報												データベース名						irdb				スキーマ名		public
テーブルID					tmp_integratedid_department												レコードサイズ										文字コード		Shift-JIS
																													
NO	Key	項目論理名						項目物理名									データ型		桁数	NULL	UNIQUE	初期値		増分	上限値	サイクル	備考		
1	PK	店部課ID						department_id									INTEGER							1		〇	自動採番		
2		組織コード						organization_cd									VARCHAR		19										
3		会社コード						company_cd									VARCHAR		3		〇								
4		会社名						company_nm									VARCHAR		60										
5		統轄コード						control_cd									VARCHAR		5										
6		統轄名						control_nm									VARCHAR		60										
7		担当コード						charge_cd									VARCHAR		5										
8		担当名						charge_nm									VARCHAR		60										
9		親店部課コード						parent_department_cd									VARCHAR		5										
10		親店部課名						parent_department_nm									VARCHAR		60										
11		店部課コード						department_cd									VARCHAR		5		〇								
12		店部課名						department_nm									VARCHAR		60										
13		店部課名英語						department_nm_en									VARCHAR		80	〇									
14		郵便番号						zip_cd									VARCHAR		7	〇									
15		住所						address									VARCHAR		100	〇									
16		電話番号						telephone_no									VARCHAR		15	〇									
17		FAX番号						fax_no									VARCHAR		15	〇									
18		内線番号						extension_no									VARCHAR		15	〇									
19		営業・非営業区分						class_sales									VARCHAR		2										
20		データ入力区分						class_data_input									VARCHAR		2										
21		更新日時						update_date									TIMESTAMP												
