局面			詳細設計						クライアント名／プロジェクト名							SMBC日興/IP電話EOL											頁		
機能名			CUCMメンテナンスシステム																			作成日			2023/04/01		作成者		PISE 髙田
資料名			TRN_ユーザー																			更新日					更新者		
エンティティ一覧へ				ER図へ		CRUD図(オンライン)へ				CRUD図(バッチ)へ																			
テーブル名称					TRN_ユーザー												データベース名						irdb				スキーマ名		public
テーブルID					trn_user												レコードサイズ										文字コード		Shift-JIS
																													
NO	Key	項目論理名						項目物理名									データ型		桁数	NULL	UNIQUE	初期値		増分	上限値	サイクル	備考		
1	PK	ユーザーID						user_id									INTEGER							1		〇	自動採番		
2		ユーザー権限						user_role									VARCHAR		1			0					0：権限なし、1：参照、2：更新、9：全権管理者		
3		共用化ID						shared_id									INTEGER			〇									
4		共用ユーザー区分						enabled_shared_use									VARCHAR		1								0：個別ユーザー、1：共用ユーザー		
5		正社員区分						fulltime_employee									VARCHAR		1								0：派遣社員？、1：社員？、8：共用ユーザー		
6		人事情報側ユーザー区分						biz_employee_id									VARCHAR		7								社員情報.社員コード		
7		ログインID						login_id									VARCHAR		7		〇						連携アプリのログインに使用		
8		ログインパスワード						login_pw									TEXT										連携アプリのログインに使用		
9		CUCMログインID						cucm_login_id									VARCHAR		7		〇						BATファイル(enduser)のユーザーIDと紐づく		
10		ユーザー名・漢字						user_nm_kanji									VARCHAR		20	〇							共用ユーザーの場合、共用名を格納する		
11		ユーザー名・カナ						user_nm_kana									VARCHAR		40	〇									
12		生年月日						birthday									VARCHAR		8	〇									
13		ユーザー名・姓(CUCM)						last_nm									VARCHAR		128										
14		ユーザー名・名(CUCM)						first_nm									VARCHAR		128										
15		PIN(CUCM)						pin									VARCHAR		5								12345 or 99999　固定？		
16		電話番号(CUCM)						telephone_no									VARCHAR		15	〇									
17		CTIアプリ利用フラグ(CUCM)						enable_cti_application_use									VARCHAR		1	〇									
18		マネージャID(CUCM)						manager_user_id									TEXT			〇							何に使っているのか不明		
19		部署名(CUCM)						department									TEXT			〇							何に使っているのか不明		
20		最終パスワード変更日時						last_pw_update									TIMESTAMP												
21		認証失敗回数						authenticate_failure_num									INTEGER					0							
22		アカウントロック						account_lock									VARCHAR		1			0					0：未ロック、1：ロック済み		
23		作成日時						create_date									TIMESTAMP					現在日時							
24		更新日時						update_date									TIMESTAMP					現在日時						
