局面			詳細設計						クライアント名／プロジェクト名							SMBC日興/IP電話EOL											頁		
機能名			CUCMメンテナンスシステム																			作成日			2023/04/12		作成者		PISE 木村
資料名			TRN_オフィスリンク_FMC端末情報																			更新日					更新者		
エンティティ一覧へ				ER図へ		CRUD図(オンライン)へ				CRUD図(バッチ)へ																			
テーブル名称					TRN_オフィスリンク_FMC端末情報												データベース名						irdb				スキーマ名		public
テーブルID					trn_officelink_fmc												レコードサイズ										文字コード		Shift-JIS
																													
NO	Key	項目論理名						項目物理名									データ型		桁数	NULL	UNIQUE	初期値		増分	上限値	サイクル	備考		
1	PK	FMC ID						fmc_id									INTEGER							1		〇	自動採番		
2		内線番号						directory_no									VARCHAR		8										
3		FOMA番号						foma_no									VARCHAR		11										
4		SIP ID						sip_id									VARCHAR		8	〇									
5		SIP パスワード						sip_pw									VARCHAR		8	〇									
6		Web カスコンユーザ名						web_cuscom_user_nm									VARCHAR		8										
7		Web カスコン パスワード						web_cuscom_pw									TEXT												
8		更新ステータス						update_status									VARCHAR		1			0					"0：更新済み、1：更新待ち
（FMC端末の登録、削除のみ）"		
9		削除フラグ						delete_flg									VARCHAR		1			0					0：未削除、1：削除済		
10		作成日時						create_date									TIMESTAMP					現在日時							
11		更新日時						update_date									TIMESTAMP					現在日時							
