局面			詳細設計						クライアント名／プロジェクト名							SMBC日興/IP電話EOL											頁		
機能名			CUCMメンテナンスシステム																			作成日			2023/04/01		作成者		PISE 髙田
資料名			TRN_ライン																			更新日					更新者		
エンティティ一覧へ				ER図へ		CRUD図(オンライン)へ				CRUD図(バッチ)へ																			
テーブル名称					TRN_ライン												データベース名						irdb				スキーマ名		public
テーブルID					trn_line												レコードサイズ										文字コード		Shift-JIS
																													
NO	Key	項目論理名						項目物理名									データ型		桁数	NULL	UNIQUE	初期値		増分	上限値	サイクル	備考		
1	PK	ラインID						line_id									INTEGER							1		〇	自動採番		
2		FMC ID						fmc_id									INTEGER			〇									
3		課金ID						charge_id									INTEGER												
4		ボイスメールプロファイルID						voice_mail_profile_id									INTEGER			〇									
5		ピックアップグループID						pickup_group_id									INTEGER			〇									
6		内線番号						directory_no									VARCHAR		8		〇								
7		全転送						fwd_all_destination									VARCHAR		100	〇									
8		全転送CSS						fwd_all_css									INTEGER			〇									
9		話中転送先						fwd_busy_destination									VARCHAR		100	〇									
10		話中転送先CSS						fwd_busy_css									INTEGER			〇									
11		不応答転送先						fwd_noans_destination									VARCHAR		100	〇									
12		不応答転送先CSS						fwd_noans_css									INTEGER			〇									
13		不応答転送待ち時間						fwd_noans_ring_duration									INTEGER										BATファイルの値を格納		
14		最大コール数						maximum_no_of_calls									INTEGER										固定値が入る？		
15		ビジートリガー						busy_trigger									INTEGER										固定値が入る？		
16		発呼側トランスフォーメーションマスク						calling_party_transformation_mask									VARCHAR		10	〇							FMC端末の場合設定する		
17		GW補足特番						gw_repletion_special_no									VARCHAR		3	〇							FMC端末の場合設定する		
18		通録設定						voice_logger									VARCHAR		1			0					0：なし、1：全録		
19		代表ピックアップ設定						representative_pickup									INTEGER					0					0：未設定、1：設定有		
20		更新ステータス						update_status									VARCHAR		1			0					"0：更新済み、1：更新待ち
※代表ピックアップに関する更新のみ管理"		
21		作成日時						create_date									TIMESTAMP					現在日時							
22		更新日時						update_date									TIMESTAMP					現在日時							
